Parameter,Example
name_of_culture_group,west_african_group
mercenary_names,"""mercenary_company_sahelian_band"""
group_coa,western_coa_gfx
group_building,western_building_gfx
group_clothing,western_clothing_gfx
group_unit,western_unit_gfx
culture_name,malinke
culture_coa,west_african_group_coa_gfx
mercenary_names,"""mercenary_company_company_of_the_gambia"""
color,255 255 255
character_modifier,ai_war_chance = 1
male_names,Abi-Bakr
female_names,Adja
cadet_dynasty_names,"""dynn_Zara"""
dynasty_names,"""dynn_Zara"""
dynasty_of_location_prefix,"""dynnp_mn"""
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,"""dynnpat_pre_ibn"""
patronym_prefix_male_vowel,"""dynnpat_pre_ibn"""
patronym_prefix_female,"""dynnpat_pre_bint"""
patronym_prefix_female_vowel,"""dynnpat_pre_bint"""
patronym_suffix_male,"""dynnpat_suf_y_fyrt"""
patronym_suffix_female,"""dynnpat_suf_y_chyzg"""
always_use_patronym,yes
african,1
arab,1
east_african,1
slavic_blond,1
slavic_ginger,1
slavic_brown_hair,1
slavic_dark_hair,1
circumpolar_dark_hair,1
circumpolar_brown_hair,1
circumpolar_blonde_hair,1
caucasian_northern_blond,1
caucasian_northern_ginger,1
caucasian_northern_brown_hair,1
caucasian_northern_dark_hair,1
caucasian_blond,1
caucasian_ginger,1
caucasian_brown_hair,1
caucasian_dark_hair,1
asian,1
indian,1
mediterranean_byzantine,1
south_indian,1
slavic_northern_blond,1
slavic_northern_ginger,1
slavic_northern_brown_hair,1
slavic_northern_dark_hair,1
mediterranean,1
