Parameter,Example
name_of_culture_group,pama_nyungan_group
mercenary_names,pama_warriors
group_coa,west_african_group_coa_gfx
group_building,african_building_gfx
group_clothing,african_clothing_gfx
group_unit,sub_sahran_unit_gfx
culture_name,ngumpin_yapa
culture_coa,west_african_group_coa_gfx
mercenary_names,tanami_band
color,201 0 0 
character_modifier,x
male_names,Itethe Amulte Irlpmenye Arethape Antyipere Kwepalpale Thipe Uthnaye Alhwe Mweremwenke Ulhelke Ngkwerne Akurrknge Arteke Aparre Intelyapelyape Atywe Apmere Alkngatherrke Arnperrke Ampe Arrutne Angkulye Angkwene Lhere Angepe Akeke Urnteme Ingwethnele Arlte Aternnge Ulpmernte Irretye Arlpe Kwarte Amake Alknge Alkngarnte Inngerre
female_names,Tywepmare Ure Alepe Alkngenthe Amenge Ingke Antyetyerre Mpwaltye Arlewatyerre Mwarre Name Iltywiltye Inteltye Atheke Arntwerreme Apere Apwerteke Alte Kaperte Ulthentye Atnware Intyware Ulampulampe Rwelyerwelye Nanthe Warle Angayakwe Ingwele Aherre Parlkenge Ampere Karnemarre Arreme Arrpwere Arrpwere Amiwarre Unyerre Thakwere Arrakerte Ingwe
cadet_dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_of_location_prefix,nge
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,x
patronym_prefix_male_vowel,x
patronym_prefix_female,x
patronym_prefix_female_vowel,x
patronym_suffix_male,x
patronym_suffix_female,x
always_use_patronym,no
african,90
arab,x
east_african,10
slavic_blond,x
slavic_ginger,x
slavic_brown_hair,x
slavic_dark_hair,x
circumpolar_dark_hair,x
circumpolar_brown_hair,x
circumpolar_blonde_hair,x
caucasian_northern_blond,x
caucasian_northern_ginger,x
caucasian_northern_brown_hair,x
caucasian_northern_dark_hair,x
caucasian_blond,x
caucasian_ginger,x
caucasian_brown_hair,x
caucasian_dark_hair,x
asian,x
indian,x
mediterranean_byzantine,x
south_indian,x
slavic_northern_blond,x
slavic_northern_ginger,x
slavic_northern_brown_hair,x
slavic_northern_dark_hair,x
mediterranean,x
culture_name,arrernte
culture_coa,west_african_group_coa_gfx
mercenary_names,bularnu_spears
color,180 0 0
character_modifier,x
male_names,Itethe Amulte Irlpmenye Arethape Antyipere Kwepalpale Thipe Uthnaye Alhwe Mweremwenke Ulhelke Ngkwerne Akurrknge Arteke Aparre Intelyapelyape Atywe Apmere Alkngatherrke Arnperrke Ampe Arrutne Angkulye Angkwene Lhere Angepe Akeke Urnteme Ingwethnele Arlte Aternnge Ulpmernte Irretye Arlpe Kwarte Amake Alknge Alkngarnte Inngerre
female_names,Tywepmare Ure Alepe Alkngenthe Amenge Ingke Antyetyerre Mpwaltye Arlewatyerre Mwarre Name Iltywiltye Inteltye Atheke Arntwerreme Apere Apwerteke Alte Kaperte Ulthentye Atnware Intyware Ulampulampe Rwelyerwelye Nanthe Warle Angayakwe Ingwele Aherre Parlkenge Ampere Karnemarre Arreme Arrpwere Arrpwere Amiwarre Unyerre Thakwere Arrakerte Ingwe
cadet_dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_of_location_prefix,nge
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,x
patronym_prefix_male_vowel,x
patronym_prefix_female,x
patronym_prefix_female_vowel,x
patronym_suffix_male,x
patronym_suffix_female,x
always_use_patronym,no
african,90
arab,x
east_african,10
slavic_blond,x
slavic_ginger,x
slavic_brown_hair,x
slavic_dark_hair,x
circumpolar_dark_hair,x
circumpolar_brown_hair,x
circumpolar_blonde_hair,x
caucasian_northern_blond,x
caucasian_northern_ginger,x
caucasian_northern_brown_hair,x
caucasian_northern_dark_hair,x
caucasian_blond,x
caucasian_ginger,x
caucasian_brown_hair,x
caucasian_dark_hair,x
asian,x
indian,x
mediterranean_byzantine,x
south_indian,x
slavic_northern_blond,x
slavic_northern_ginger,x
slavic_northern_brown_hair,x
slavic_northern_dark_hair,x
mediterranean,x
culture_name,ngarna
culture_coa,west_african_group_coa_gfx
mercenary_names,ngarna_band
color,150
character_modifier,x
male_names,Itethe Amulte Irlpmenye Arethape Antyipere Kwepalpale Thipe Uthnaye Alhwe Mweremwenke Ulhelke Ngkwerne Akurrknge Arteke Aparre Intelyapelyape Atywe Apmere Alkngatherrke Arnperrke Ampe Arrutne Angkulye Angkwene Lhere Angepe Akeke Urnteme Ingwethnele Arlte Aternnge Ulpmernte Irretye Arlpe Kwarte Amake Alknge Alkngarnte Inngerre
female_names,Tywepmare Ure Alepe Alkngenthe Amenge Ingke Antyetyerre Mpwaltye Arlewatyerre Mwarre Name Iltywiltye Inteltye Atheke Arntwerreme Apere Apwerteke Alte Kaperte Ulthentye Atnware Intyware Ulampulampe Rwelyerwelye Nanthe Warle Angayakwe Ingwele Aherre Parlkenge Ampere Karnemarre Arreme Arrpwere Arrpwere Amiwarre Unyerre Thakwere Arrakerte Ingwe
cadet_dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_names,Arrthwarrthwa Alhe Kwetere Alaye Lhwampe Inarlenge Nyemale Thetheke Utyipme Arlpatye Arrwe Artekerre Antulye Ntarne Arrirlpe Mpetyane Angale Pengarte Penangke Alkere Ntyerneke Apmwe Irrtyarte Inurle Aywerte Alyeke Apwerte Artnepwe Alenye Remaye Angkertangkerte Pmwarepmware Kwatye Langkwe Yalke Atwakeye Arrutnenge Irlpmane
dynasty_of_location_prefix,nge
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,x
patronym_prefix_male_vowel,x
patronym_prefix_female,x
patronym_prefix_female_vowel,x
patronym_suffix_male,x
patronym_suffix_female,x
always_use_patronym,no
african,90
arab,x
east_african,10
slavic_blond,x
slavic_ginger,x
slavic_brown_hair,x
slavic_dark_hair,x
circumpolar_dark_hair,x
circumpolar_brown_hair,x
circumpolar_blonde_hair,x
caucasian_northern_blond,x
caucasian_northern_ginger,x
caucasian_northern_brown_hair,x
caucasian_northern_dark_hair,x
caucasian_blond,x
caucasian_ginger,x
caucasian_brown_hair,x
caucasian_dark_hair,x
asian,x
indian,x
mediterranean_byzantine,x
south_indian,x
slavic_northern_blond,x
slavic_northern_ginger,x
slavic_northern_brown_hair,x
slavic_northern_dark_hair,x
mediterranean,x
