id,red,green,blue,barony,county,duchy,kingdom,empire,terrain,culture,religion,holding,map red,map green,map blue
0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x
1,42,3,128,Mount William,Dorset,Dorset,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,122,0,173
2,84,6,1,Scottsdale,Dorset,Dorset,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,123,0,173
3,126,9,129,St Helen's,Cornwall,Dorset,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,124,0,173
4,168,12,2,St Mary's,Cornwall,Dorset,Tasmania,Greater Tasmania,mountains,tasmanian,tersian,auto,125,0,173
5,0,15,130,Avoca,Launceston,Tamar,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,126,0,173
6,168,45,177,Launceston,Launceston,Tamar,Tasmania,Greater Tasmania,farmlands,tasmanian,tersian,auto,127,0,173
7,84,21,131,George Town,Launceston,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,128,0,173
8,126,24,4,Bichelo,Glamorgan,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,129,0,173
9,168,27,132,Swansea,Glamorgan,Tamar,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,130,0,173
10,0,30,5,Campbell Town,Somerset,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,131,0,173
11,42,33,133,Poatina,Tamar Valley,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,132,0,173
12,84,36,6,Deloraine,Tamar Valley,Tamar,Tasmania,Greater Tasmania,farmlands,tasmanian,tersian,auto,133,0,173
13,126,39,134,Beauty Point,Tamar Valley,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,134,0,173
14,168,42,7,Devonport,Devon,Tamar,Tasmania,Greater Tasmania,farmlands,tasmanian,tersian,auto,135,0,173
15,0,45,135,Burnie,Devon,Tamar,Tasmania,Greater Tasmania,farmlands,tasmanian,tersian,auto,136,0,173
16,42,48,8,Moina,Devon,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,137,0,173
17,84,51,136,Wynyard,Devon,Tamar,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,138,0,173
18,126,54,9,Smithton,Smithton,Savage,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,139,0,173
19,168,57,137,Trowutta,Smithton,Savage,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,140,0,173
20,0,60,10,Waratah,Russell,Savage,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,141,0,173
21,42,63,138,Zeehan,Montagu,Savage,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,142,0,173
22,84,66,11,Queenstown,Montagu,Savage,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,143,0,173
23,126,69,139,Cradle Mountain,Central  Plateau,Plateau,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,144,0,173
24,168,72,12,Bronte Park,Central  Plateau,Plateau,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,145,0,173
25,0,75,140,Breona,Westmoreland,Plateau,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,146,0,173
26,42,78,13,Great Lake,Westmoreland,Plateau,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,147,0,173
27,126,84,14,West Coast Range,Franklin River,Tasman Highlands,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,148,0,173
28,84,81,141,Macquarie Harbour,Montgomery,Tasman Highlands,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,149,0,173
29,168,87,142,Strathgordon,Arthur,Tasman Highlands,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,150,0,173
30,0,90,15,Geeveston,Kent,Tasman Highlands,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,151,0,173
31,42,93,143,New Norfolk,Buckingham,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,152,0,173
32,84,96,16,Huonville,Buckingham,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,153,0,173
33,126,99,144,Hobart,Buckingham,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,154,0,173
34,168,102,17,Brighton,Monmouth,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,155,0,173
35,0,105,145,Clearance,Monmouth,Derwentia,Tasmania,Greater Tasmania,farmlands,tasmanian,tersian,auto,156,0,173
36,42,108,18,Kempton,Monmouth,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,157,0,173
37,84,111,146,Dodges Ferry,Pembroke,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,158,0,173
38,126,114,19,Port Arthur,Pembroke,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,159,0,173
39,168,117,147,Triabunna,Pembroke,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,160,0,173
40,0,120,20,Oatlands,York Plains,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,161,0,173
41,42,123,148,Lemont,York Plains,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,162,0,173
42,84,126,21,Bruny,Buckingham,Derwentia,Tasmania,Greater Tasmania,plains,tasmanian,tersian,auto,163,0,173
43,126,129,149,Miena,Lagoons,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,164,0,173
44,168,132,22,Tarraleah,Lagoons,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,165,0,173
